OriginState,DestState,AvgFare
Alabama,Alabama,336.5777778
Alabama,Alaska,521.221717
Alabama,Arizona,311.0088732
Alabama,Arkansas,292.3732295
Alabama,California,328.2792845
Alabama,Colorado,292.8213475
Alabama,Connecticut,269.7039538
Alabama,Florida,234.755202
Alabama,Georgia,268.0488813
Alabama,Hawaii,582.7933033
Alabama,Idaho,378.9005371
Alabama,Illinois,232.7493047
Alabama,Indiana,302.3520851
Alabama,Iowa,287.5273062
Alabama,Kansas,301.6687662
Alabama,Kentucky,308.5298925
Alabama,Louisiana,302.667031
Alabama,Maine,298.347194
Alabama,Maryland,242.7962974
Alabama,Massachusetts,302.3936161
Alabama,Michigan,299.5098746
Alabama,Minnesota,307.8555312
Alabama,Mississippi,358.0374419
Alabama,Missouri,264.2726596
Alabama,Montana,389.2992937
Alabama,Nebraska,276.8086053
Alabama,Nevada,286.1911057
Alabama,New Hampshire,283.4790146
Alabama,New Jersey,295.1052452
Alabama,New Mexico,295.1719477
Alabama,New York,277.562219
Alabama,North Carolina,244.6898377
Alabama,North Dakota,364.7001429
Alabama,Ohio,261.8049307
Alabama,Oklahoma,281.6679256
Alabama,Oregon,359.925894
Alabama,Pennsylvania,269.9724435
Alabama,Puerto Rico,312.8810302
Alabama,Rhode Island,278.2145455
Alabama,South Carolina,269.3044026
Alabama,South Dakota,345.6610336
Alabama,Tennessee,316.2268161
Alabama,Texas,257.6273917
Alabama,U.S. Pacific Trust Territories and Possessions,1508.863636
Alabama,U.S. Virgin Islands,349.4005714
Alabama,Utah,333.8876055
Alabama,Vermont,328.738419
Alabama,Virginia,264.1750409
Alabama,Washington,350.3552083
Alabama,West Virginia,305.4883178
Alabama,Wisconsin,302.6553466
Alabama,Wyoming,374.8484242
Alaska,Alabama,503.5185988
Alaska,Alaska,205.3394839
Alaska,Arizona,301.5666534
Alaska,Arkansas,431.709061
Alaska,California,296.2036743
Alaska,Colorado,357.7033803
Alaska,Connecticut,456.9300298
Alaska,Florida,379.3310589
Alaska,Georgia,411.5200387
Alaska,Hawaii,383.9329021
Alaska,Idaho,289.0843531
Alaska,Illinois,371.7075042
Alaska,Indiana,390.2924175
Alaska,Iowa,383.0943041
Alaska,Kansas,388.62
Alaska,Kentucky,431.4360481
Alaska,Louisiana,448.7608049
Alaska,Maine,494.3993617
