StatePair,OriginState,DestState,TotalFare,TotalTickets,AvgFare
Tennessee:Utah,Tennessee,Utah,1592306.599999999,5599,284.3912484372207
New Mexico:Kansas,New Mexico,Kansas,66771.65999999999,257,259.8119066147859
Massachusetts:Arizona,Massachusetts,Arizona,3901936.270000009,13553,287.9020342359632
Iowa:Utah,Iowa,Utah,379467.1199999996,1402,270.6612838801709
Wisconsin:North Carolina,Wisconsin,North Carolina,2759362.909999997,10774,256.11313439762364
Arizona:New Hampshire,Arizona,New Hampshire,507797.9100000002,1857,273.45067851373193
Arkansas:Florida,Arkansas,Florida,3047356.009999997,11676,260.9931491949295
Vermont:Michigan,Vermont,Michigan,277956.86000000004,940,295.6987872340426
Wyoming:Illinois,Wyoming,Illinois,593270.8200000005,1635,362.85677064220215
Wyoming:Kentucky,Wyoming,Kentucky,157578.14,450,350.17364444444445
New Jersey:Virginia,New Jersey,Virginia,2146059.7900000033,7543,284.51011401299263
Michigan:U.S. Virgin Islands,Michigan,U.S. Virgin Islands,490908.3499999995,1372,357.80491982507255
Texas:Iowa,Texas,Iowa,3276702.590000003,11992,273.2407096397601
Georgia:U.S. Virgin Islands,Georgia,U.S. Virgin Islands,758388.8199999997,2182,347.5659120073326
Illinois:Nebraska,Illinois,Nebraska,1789041.2300000016,8701,205.61328927709476
Massachusetts:U.S. Pacific Trust Territories and Possessions,Massachusetts,U.S. Pacific Trust Territories and Possessions,19861.350000000002,17,1168.314705882353
Alabama:Vermont,Alabama,Vermont,83170.81999999995,253,328.73841897233183
Pennsylvania:U.S. Virgin Islands,Pennsylvania,U.S. Virgin Islands,828125.6699999999,2191,377.96698767685984
Maine:Oklahoma,Maine,Oklahoma,146954.1799999999,464,316.711594827586
Tennessee:Nevada,Tennessee,Nevada,3118365.4499999946,11702,266.48140916082673
Minnesota:Illinois,Minnesota,Illinois,5585201.739999987,31291,178.492273816752
Mississippi:Alaska,Mississippi,Alaska,156624.69,325,481.92212307692307
Utah:Florida,Utah,Florida,5917615.299999981,21986,269.1537933230229
Arizona:Maine,Arizona,Maine,547949.6100000002,1769,309.7510514414925
Colorado:Hawaii,Colorado,Hawaii,6016875.739999995,13037,461.5230298381525
South Carolina:Minnesota,South Carolina,Minnesota,1250532.2799999989,4500,277.896062222222
Hawaii:Virginia,Hawaii,Virginia,6286659.130000011,11260,558.3178623445835
Arkansas:Alabama,Arkansas,Alabama,271007.74000000005,939,288.61314164004267
Tennessee:New York,Tennessee,New York,7449717.649999979,30961,240.61618326281382
Michigan:Missouri,Michigan,Missouri,3460345.2100000004,14819,233.50733585262165
Illinois:Maryland,Illinois,Maryland,2707573.21,13698,197.66193677909183
Oklahoma:Vermont,Oklahoma,Vermont,69668.51999999999,187,372.55893048128337
Maine:Alaska,Maine,Alaska,105461.63999999997,194,543.6167010309276
North Dakota:Arizona,North Dakota,Arizona,896530.9100000006,3724,240.74406820623003
Michigan:Alabama,Michigan,Alabama,1425579.2699999984,4784,297.98897784280905
New York:South Carolina,New York,South Carolina,4980637.890000021,25502,195.30381499490318
North Carolina:Puerto Rico,North Carolina,Puerto Rico,1326334.4799999984,5019,264.2626977485552
Arkansas:New Hampshire,Arkansas,New Hampshire,72833.98,258,282.3022480620155
Montana:New Jersey,Montana,New Jersey,600963.1099999994,1681,357.5033372992263
Hawaii:Florida,Hawaii,Florida,6896864.359999993,12355,558.2245536220148
Wisconsin:Oregon,Wisconsin,Oregon,1557529.3000000017,4964,313.7649677679294
New Mexico:Utah,New Mexico,Utah,503877.43999999977,2334,215.88579263067686
Oregon:Ohio,Oregon,Ohio,1761075.6800000046,5703,308.79812028756874
Wisconsin:Tennessee,Wisconsin,Tennessee,1515353.530000002,5515,274.7694524025389
California:New Jersey,California,New Jersey,31566398.969999872,75152,420.0340505908009
Iowa:Florida,Iowa,Florida,2940880.169999998,12416,236.862127094072
Illinois:Kentucky,Illinois,Kentucky,3083639.280000002,12019,256.56371411931127
Ohio:Iowa,Ohio,Iowa,700368.6899999997,2725,257.01603302752284
Nevada:West Virginia,Nevada,West Virginia,215058.69999999995,638,337.0826018808777
Connecticut:California,Connecticut,California,5961153.769999983,19352,308.03812370814296
Illinois:South Carolina,Illinois,South Carolina,2952132.020000001,14379,205.3085763961333
